Maintenance_ID,Maintenance_Date,Plant_ID,Equipment_ID,Maintenance_Type,Action_Taken,Downtime_Min,Maintenance_Cost_USD,Technician_Team
MT-00251,2025-10-27 11:00:00,5,EQ-00134,Cleaning,Firmware updated,176,402.4,Team A
MT-00252,2025-05-17 04:30:00,3,EQ-00075,Cleaning,Breaker replaced,46,1326.44,Team C
MT-00253,2025-09-08 16:15:00,6,EQ-00151,Cleaning,Cable inspection completed,201,643.57,Team B
MT-00254,2025-12-19 02:15:00,6,EQ-00159,Component Replacement,Breaker replaced,354,805.79,Team D
MT-00255,2025-05-24 15:45:00,7,EQ-00177,Component Replacement,Firmware updated,28,1715.15,Team C
MT-00256,2025-03-16 21:00:00,17,EQ-00445,Preventive Maintenance,Panel cleaning completed,75,657.04,Team A
MT-00257,2025-04-08 20:00:00,1,EQ-00012,Corrective Maintenance,Transformer cooling checked,184,1336.6,Team B
MT-00258,2025-11-30 07:15:00,13,EQ-00346,Component Replacement,Panel cleaning completed,262,348.31,Team C
MT-00259,2025-07-26 12:00:00,11,EQ-00272,Inspection,Sensor recalibrated,236,2466.1,Team A
MT-00260,2025-09-22 22:00:00,8,EQ-00196,Component Replacement,Loose connection repaired,337,496.81,Team A
MT-00261,2025-01-28 14:15:00,12,EQ-00323,Component Replacement,Panel cleaning completed,118,861.92,Team B
MT-00262,2025-10-07 16:15:00,17,EQ-00437,Component Replacement,Cable inspection completed,256,1276.54,Team D
MT-00263,2025-03-17 19:00:00,17,EQ-00433,Inspection,Inverter reset performed,42,932.78,Team C
MT-00264,2025-07-22 03:30:00,17,EQ-00459,Component Replacement,Inverter reset performed,230,1593.94,Team C
MT-00265,2025-11-09 08:00:00,20,EQ-00518,Cleaning,Sensor recalibrated,139,2336.51,Team C
MT-00266,2025-04-14 08:30:00,12,EQ-00306,Inspection,Panel cleaning completed,220,2028.97,Team B
MT-00267,2025-05-20 00:30:00,17,EQ-00449,Cleaning,Transformer cooling checked,60,1511.42,Team B
MT-00268,2025-02-16 23:00:00,19,EQ-00508,Cleaning,Inverter reset performed,176,469.53,Team B
MT-00269,2025-10-31 13:15:00,3,EQ-00066,Component Replacement,Transformer cooling checked,136,1463.34,Team B
MT-00270,2025-06-20 07:30:00,1,EQ-00024,Corrective Maintenance,Transformer cooling checked,37,2047.84,Team D
MT-00271,2025-03-18 10:30:00,7,EQ-00189,Preventive Maintenance,Inverter reset performed,36,824.08,Team C
MT-00272,2025-02-15 14:15:00,18,EQ-00475,Cleaning,Firmware updated,96,382.35,Team B
MT-00273,2025-10-08 17:00:00,7,EQ-00182,Inspection,Panel cleaning completed,245,1011.07,Team D
MT-00274,2025-01-31 07:00:00,3,EQ-00055,Inspection,Sensor recalibrated,269,2306.82,Team D
MT-00275,2025-05-29 15:00:00,12,EQ-00300,Cleaning,Sensor recalibrated,350,1891.35,Team A
MT-00276,2025-12-12 12:00:00,9,EQ-00236,Cleaning,Transformer cooling checked,183,784.07,Team A
MT-00277,2025-06-04 20:45:00,1,EQ-00018,Preventive Maintenance,Loose connection repaired,60,1595.67,Team D
MT-00278,2025-05-10 09:15:00,10,EQ-00264,Cleaning,Firmware updated,218,1918.44,Team D
MT-00279,2025-04-25 19:15:00,5,EQ-00125,Component Replacement,Firmware updated,174,1930.74,Team A
MT-00280,2025-11-05 00:30:00,4,EQ-00098,Inspection,Loose connection repaired,319,229.23,Team C
MT-00281,2025-10-08 13:30:00,10,EQ-00249,Cleaning,Sensor recalibrated,142,2348.96,Team C
MT-00282,2025-03-23 05:30:00,17,EQ-00447,Inspection,Firmware updated,342,847.96,Team B
MT-00283,2025-07-07 05:30:00,15,EQ-00399,Corrective Maintenance,Sensor recalibrated,220,1190.39,Team B
MT-00284,2025-06-04 03:00:00,3,EQ-00071,Corrective Maintenance,Transformer cooling checked,279,1903.78,Team B
MT-00285,2025-07-07 10:45:00,16,EQ-00430,Preventive Maintenance,Panel cleaning completed,111,440.94,Team B
MT-00286,2025-02-05 01:45:00,18,EQ-00471,Corrective Maintenance,Inverter reset performed,137,1751.58,Team B
MT-00287,2025-08-23 12:15:00,20,EQ-00529,Cleaning,Loose connection repaired,108,1785.3,Team B
MT-00288,2025-10-04 19:15:00,11,EQ-00272,Corrective Maintenance,Sensor recalibrated,134,2121.76,Team B
MT-00289,2025-11-03 21:15:00,14,EQ-00353,Cleaning,Inverter reset performed,124,367.96,Team A
MT-00290,2025-07-07 13:00:00,6,EQ-00142,Preventive Maintenance,Loose connection repaired,41,1870.72,Team C
MT-00291,2025-10-29 21:45:00,19,EQ-00502,Corrective Maintenance,Inverter reset performed,272,2334.11,Team A
MT-00292,2025-05-03 12:45:00,10,EQ-00244,Inspection,Loose connection repaired,126,2129.11,Team C
MT-00293,2025-10-30 22:45:00,9,EQ-00228,Component Replacement,Firmware updated,206,53.12,Team D
MT-00294,2025-02-25 06:00:00,16,EQ-00427,Corrective Maintenance,Breaker replaced,174,1958.9,Team C
MT-00295,2025-07-27 01:15:00,15,EQ-00380,Cleaning,Cable inspection completed,202,1480.77,Team C
MT-00296,2025-08-11 15:15:00,12,EQ-00315,Corrective Maintenance,Breaker replaced,44,1091.16,Team C
MT-00297,2025-03-20 21:15:00,19,EQ-00509,Preventive Maintenance,Panel cleaning completed,60,1377.75,Team D
MT-00298,2025-03-11 07:00:00,7,EQ-00182,Cleaning,Firmware updated,280,2363.08,Team B
MT-00299,2025-05-11 15:00:00,1,EQ-00013,Cleaning,Panel cleaning completed,167,787.51,Team B
MT-00300,2025-10-31 19:00:00,17,EQ-00456,Component Replacement,Inverter reset performed,208,2370.54,Team D
MT-00301,2025-01-28 05:45:00,14,EQ-00354,Preventive Maintenance,Panel cleaning completed,154,1662.14,Team B
MT-00302,2025-09-29 08:00:00,4,EQ-00089,Corrective Maintenance,Breaker replaced,214,585.16,Team D
MT-00303,2025-12-11 11:45:00,10,EQ-00246,Component Replacement,Transformer cooling checked,121,826.9,Team D
MT-00304,2025-06-30 10:15:00,7,EQ-00181,Inspection,Firmware updated,255,1046.44,Team D
MT-00305,2025-11-22 04:45:00,8,EQ-00214,Inspection,Sensor recalibrated,144,1505.8,Team D
MT-00306,2025-04-15 08:15:00,13,EQ-00345,Inspection,Panel cleaning completed,322,1760.86,Team D
MT-00307,2025-10-12 00:15:00,8,EQ-00205,Component Replacement,Cable inspection completed,117,253.54,Team C
MT-00308,2025-10-09 17:30:00,7,EQ-00183,Corrective Maintenance,Sensor recalibrated,125,713.53,Team C
MT-00309,2025-05-27 15:30:00,5,EQ-00133,Preventive Maintenance,Sensor recalibrated,334,395.57,Team B
MT-00310,2025-12-10 21:00:00,10,EQ-00257,Cleaning,Sensor recalibrated,82,668.24,Team A
MT-00311,2025-03-22 14:30:00,17,EQ-00453,Preventive Maintenance,Inverter reset performed,264,1219.18,Team D
MT-00312,2025-03-16 15:30:00,12,EQ-00323,Cleaning,Loose connection repaired,85,1464.4,Team D
MT-00313,2025-01-28 06:30:00,20,EQ-00535,Cleaning,Cable inspection completed,98,506.44,Team A
MT-00314,2025-05-02 16:45:00,7,EQ-00164,Corrective Maintenance,Loose connection repaired,59,2386.74,Team D
MT-00315,2025-09-25 03:15:00,6,EQ-00137,Component Replacement,Loose connection repaired,316,833.58,Team C
MT-00316,2025-01-26 08:00:00,12,EQ-00299,Corrective Maintenance,Breaker replaced,266,699.12,Team C
MT-00317,2025-06-20 01:15:00,3,EQ-00064,Preventive Maintenance,Loose connection repaired,312,1211.41,Team A
MT-00318,2025-07-03 06:15:00,12,EQ-00323,Corrective Maintenance,Inverter reset performed,311,1391.5,Team A
MT-00319,2025-06-22 23:30:00,7,EQ-00188,Inspection,Firmware updated,330,2437.36,Team D
MT-00320,2025-01-15 19:45:00,14,EQ-00372,Cleaning,Cable inspection completed,99,1826.69,Team C
MT-00321,2025-11-28 22:45:00,6,EQ-00143,Preventive Maintenance,Inverter reset performed,170,1837.71,Team A
MT-00322,2025-04-02 10:45:00,16,EQ-00421,Corrective Maintenance,Transformer cooling checked,19,1135.94,Team A
MT-00323,2025-08-24 07:30:00,10,EQ-00250,Cleaning,Transformer cooling checked,58,2315.99,Team A
MT-00324,2025-09-10 04:45:00,5,EQ-00116,Inspection,Loose connection repaired,85,1826.85,Team D
MT-00325,2025-10-02 03:00:00,6,EQ-00156,Preventive Maintenance,Breaker replaced,19,1689.98,Team C
MT-00326,2025-08-17 20:15:00,8,EQ-00196,Cleaning,Inverter reset performed,322,2038.0,Team C
MT-00327,2025-09-05 05:30:00,12,EQ-00305,Cleaning,Panel cleaning completed,259,356.84,Team A
MT-00328,2025-05-21 15:45:00,3,EQ-00078,Inspection,Cable inspection completed,341,1365.45,Team B
MT-00329,2025-02-10 01:30:00,20,EQ-00518,Preventive Maintenance,Inverter reset performed,259,2301.55,Team B
MT-00330,2025-03-06 14:00:00,16,EQ-00432,Preventive Maintenance,Loose connection repaired,94,69.52,Team A
MT-00331,2025-04-11 20:30:00,7,EQ-00185,Cleaning,Sensor recalibrated,240,2048.22,Team A
MT-00332,2025-09-05 15:45:00,19,EQ-00502,Cleaning,Sensor recalibrated,182,650.13,Team B
MT-00333,2025-12-16 21:15:00,3,EQ-00062,Component Replacement,Firmware updated,211,1328.99,Team C
MT-00334,2025-11-21 20:45:00,7,EQ-00186,Cleaning,Transformer cooling checked,186,2012.53,Team C
MT-00335,2025-10-14 08:00:00,3,EQ-00055,Preventive Maintenance,Firmware updated,353,1422.75,Team D
MT-00336,2025-10-24 17:15:00,9,EQ-00219,Component Replacement,Sensor recalibrated,250,1005.28,Team B
MT-00337,2025-04-02 04:00:00,9,EQ-00219,Corrective Maintenance,Firmware updated,68,1957.43,Team C
MT-00338,2025-08-16 11:45:00,3,EQ-00070,Cleaning,Inverter reset performed,229,923.42,Team C
MT-00339,2025-10-20 23:00:00,6,EQ-00138,Component Replacement,Inverter reset performed,201,224.82,Team B
MT-00340,2025-01-01 23:30:00,14,EQ-00355,Component Replacement,Loose connection repaired,165,1234.06,Team C
MT-00341,2025-11-23 13:00:00,10,EQ-00252,Corrective Maintenance,Inverter reset performed,320,1703.91,Team A
MT-00342,2025-08-11 09:15:00,4,EQ-00103,Cleaning,Loose connection repaired,239,1960.53,Team D
MT-00343,2025-12-10 01:15:00,14,EQ-00354,Cleaning,Firmware updated,174,450.24,Team A
MT-00344,2025-04-19 16:30:00,2,EQ-00049,Component Replacement,Inverter reset performed,116,2218.47,Team C
MT-00345,2025-11-16 00:00:00,15,EQ-00379,Cleaning,Transformer cooling checked,293,2169.66,Team C
MT-00346,2025-09-11 04:45:00,15,EQ-00398,Inspection,Cable inspection completed,151,1338.35,Team D
MT-00347,2025-11-29 00:00:00,4,EQ-00084,Corrective Maintenance,Inverter reset performed,42,1930.03,Team D
MT-00348,2025-10-20 18:00:00,19,EQ-00504,Component Replacement,Panel cleaning completed,204,1975.06,Team D
MT-00349,2025-02-04 04:30:00,15,EQ-00393,Cleaning,Loose connection repaired,94,1825.59,Team B
MT-00350,2025-12-05 23:30:00,14,EQ-00377,Cleaning,Inverter reset performed,225,950.28,Team C
MT-00351,2025-02-24 23:00:00,6,EQ-00142,Corrective Maintenance,Sensor recalibrated,358,420.5,Team B
MT-00352,2025-11-05 03:30:00,9,EQ-00234,Corrective Maintenance,Firmware updated,316,1316.1,Team A
MT-00353,2025-08-18 17:30:00,15,EQ-00398,Component Replacement,Panel cleaning completed,274,2484.96,Team C
MT-00354,2025-10-28 00:00:00,5,EQ-00113,Cleaning,Breaker replaced,302,1173.86,Team A
MT-00355,2025-05-20 02:00:00,7,EQ-00181,Preventive Maintenance,Transformer cooling checked,73,602.23,Team B
MT-00356,2025-03-23 12:00:00,9,EQ-00219,Cleaning,Cable inspection completed,288,150.41,Team A
MT-00357,2025-09-20 20:15:00,5,EQ-00125,Corrective Maintenance,Panel cleaning completed,202,2274.13,Team D
MT-00358,2025-09-18 05:15:00,3,EQ-00063,Cleaning,Loose connection repaired,50,2126.77,Team D
MT-00359,2025-04-07 18:15:00,9,EQ-00231,Inspection,Inverter reset performed,301,303.07,Team B
MT-00360,2025-08-24 00:45:00,16,EQ-00431,Component Replacement,Cable inspection completed,331,1968.05,Team A
MT-00361,2025-12-07 23:45:00,4,EQ-00102,Component Replacement,Loose connection repaired,352,211.33,Team B
MT-00362,2025-02-26 02:30:00,5,EQ-00121,Cleaning,Cable inspection completed,325,1915.93,Team A
MT-00363,2025-11-14 05:15:00,8,EQ-00198,Cleaning,Breaker replaced,301,1494.8,Team B
MT-00364,2025-04-19 11:00:00,20,EQ-00530,Preventive Maintenance,Transformer cooling checked,137,1438.42,Team A
MT-00365,2025-05-29 03:00:00,14,EQ-00354,Preventive Maintenance,Cable inspection completed,160,620.33,Team C
MT-00366,2025-10-21 12:45:00,19,EQ-00495,Inspection,Panel cleaning completed,242,350.83,Team D
MT-00367,2025-12-04 01:30:00,13,EQ-00348,Cleaning,Panel cleaning completed,21,1537.18,Team B
MT-00368,2025-08-09 17:00:00,1,EQ-00006,Cleaning,Cable inspection completed,288,374.14,Team A
MT-00369,2025-04-07 01:00:00,11,EQ-00290,Corrective Maintenance,Sensor recalibrated,93,821.86,Team A
MT-00370,2025-02-07 01:00:00,13,EQ-00343,Cleaning,Panel cleaning completed,176,1283.54,Team A
MT-00371,2025-10-21 10:30:00,5,EQ-00129,Component Replacement,Sensor recalibrated,212,1633.42,Team A
MT-00372,2025-04-17 04:00:00,12,EQ-00312,Inspection,Firmware updated,18,2324.5,Team D
MT-00373,2025-04-12 05:30:00,12,EQ-00320,Corrective Maintenance,Sensor recalibrated,167,1876.82,Team B
MT-00374,2025-06-26 15:45:00,6,EQ-00151,Corrective Maintenance,Inverter reset performed,161,1291.69,Team A
MT-00375,2025-07-11 01:15:00,3,EQ-00068,Corrective Maintenance,Breaker replaced,311,1483.87,Team C
MT-00376,2025-09-20 19:15:00,4,EQ-00094,Preventive Maintenance,Firmware updated,205,2142.04,Team A
MT-00377,2025-09-03 03:45:00,18,EQ-00473,Component Replacement,Inverter reset performed,44,221.19,Team D
MT-00378,2025-01-24 01:45:00,1,EQ-00009,Component Replacement,Inverter reset performed,52,1568.04,Team B
MT-00379,2025-05-11 17:15:00,10,EQ-00253,Component Replacement,Inverter reset performed,222,1160.01,Team B
MT-00380,2025-09-18 16:00:00,20,EQ-00525,Cleaning,Inverter reset performed,241,1678.17,Team A
MT-00381,2025-12-06 22:45:00,17,EQ-00450,Preventive Maintenance,Sensor recalibrated,22,396.76,Team D
MT-00382,2025-05-20 13:45:00,18,EQ-00477,Corrective Maintenance,Breaker replaced,104,1347.48,Team C
MT-00383,2025-11-07 09:15:00,9,EQ-00226,Inspection,Transformer cooling checked,70,477.14,Team C
MT-00384,2025-06-02 03:45:00,4,EQ-00097,Component Replacement,Panel cleaning completed,260,94.19,Team B
MT-00385,2025-04-02 01:15:00,16,EQ-00406,Component Replacement,Sensor recalibrated,184,794.65,Team B
MT-00386,2025-01-30 07:30:00,10,EQ-00250,Corrective Maintenance,Breaker replaced,301,115.4,Team D
MT-00387,2025-06-08 06:30:00,3,EQ-00057,Preventive Maintenance,Cable inspection completed,48,1797.12,Team D
MT-00388,2025-05-26 16:15:00,17,EQ-00459,Inspection,Loose connection repaired,281,1558.37,Team C
MT-00389,2025-04-14 07:15:00,18,EQ-00466,Corrective Maintenance,Firmware updated,222,352.76,Team C
MT-00390,2025-07-26 15:45:00,9,EQ-00217,Corrective Maintenance,Cable inspection completed,139,2150.87,Team D
MT-00391,2025-04-24 05:30:00,13,EQ-00337,Component Replacement,Panel cleaning completed,315,1585.33,Team B
MT-00392,2025-04-16 12:45:00,5,EQ-00123,Inspection,Sensor recalibrated,35,661.15,Team A
MT-00393,2025-08-20 09:45:00,8,EQ-00205,Component Replacement,Sensor recalibrated,138,2455.14,Team D
MT-00394,2025-03-15 00:00:00,14,EQ-00368,Cleaning,Cable inspection completed,156,2180.82,Team C
MT-00395,2025-11-03 03:30:00,12,EQ-00301,Component Replacement,Inverter reset performed,277,838.64,Team D
MT-00396,2025-05-19 23:45:00,5,EQ-00112,Component Replacement,Firmware updated,167,1220.39,Team B
MT-00397,2025-09-23 05:15:00,19,EQ-00496,Corrective Maintenance,Inverter reset performed,334,59.08,Team A
MT-00398,2025-11-28 09:45:00,2,EQ-00052,Inspection,Panel cleaning completed,336,2126.74,Team A
MT-00399,2025-03-11 19:00:00,13,EQ-00336,Corrective Maintenance,Inverter reset performed,215,109.48,Team B
MT-00400,2025-11-12 20:30:00,18,EQ-00476,Cleaning,Breaker replaced,180,1759.84,Team C
MT-00401,2025-03-30 19:15:00,4,EQ-00102,Preventive Maintenance,Firmware updated,212,847.96,Team B
MT-00402,2025-08-18 03:00:00,3,EQ-00068,Inspection,Transformer cooling checked,324,2198.64,Team A
MT-00403,2025-02-14 00:45:00,8,EQ-00210,Corrective Maintenance,Sensor recalibrated,66,1684.51,Team D
MT-00404,2025-03-20 11:15:00,11,EQ-00286,Inspection,Sensor recalibrated,265,999.28,Team C
MT-00405,2025-05-19 19:45:00,10,EQ-00248,Cleaning,Cable inspection completed,48,1869.39,Team A
MT-00406,2025-01-21 08:45:00,4,EQ-00107,Cleaning,Cable inspection completed,147,1302.11,Team B
MT-00407,2025-02-18 06:00:00,19,EQ-00494,Corrective Maintenance,Sensor recalibrated,34,714.33,Team D
MT-00408,2025-02-06 02:00:00,7,EQ-00183,Cleaning,Transformer cooling checked,246,2378.47,Team C
MT-00409,2025-03-30 23:45:00,18,EQ-00469,Cleaning,Firmware updated,74,776.24,Team A
MT-00410,2025-03-22 03:15:00,9,EQ-00219,Corrective Maintenance,Panel cleaning completed,114,1992.77,Team C
MT-00411,2025-09-05 08:00:00,1,EQ-00016,Inspection,Loose connection repaired,153,421.01,Team D
MT-00412,2025-10-21 21:45:00,16,EQ-00426,Cleaning,Breaker replaced,27,2349.21,Team A
MT-00413,2025-12-13 08:15:00,20,EQ-00529,Preventive Maintenance,Inverter reset performed,163,432.4,Team B
MT-00414,2025-08-01 13:30:00,7,EQ-00169,Cleaning,Firmware updated,92,441.34,Team B
MT-00415,2025-09-11 20:30:00,13,EQ-00339,Cleaning,Transformer cooling checked,99,459.03,Team B
MT-00416,2025-12-15 04:45:00,4,EQ-00092,Corrective Maintenance,Sensor recalibrated,39,1964.87,Team D
MT-00417,2025-09-24 16:00:00,7,EQ-00187,Inspection,Breaker replaced,75,1284.92,Team D
MT-00418,2025-11-19 00:00:00,2,EQ-00030,Component Replacement,Cable inspection completed,269,545.01,Team D
MT-00419,2025-07-16 19:45:00,12,EQ-00302,Inspection,Sensor recalibrated,277,230.6,Team C
MT-00420,2025-12-29 17:15:00,1,EQ-00027,Component Replacement,Loose connection repaired,209,968.97,Team B
MT-00421,2025-03-08 21:45:00,2,EQ-00050,Component Replacement,Breaker replaced,209,899.8,Team B
MT-00422,2025-09-18 06:00:00,7,EQ-00165,Cleaning,Loose connection repaired,332,385.34,Team A
MT-00423,2025-05-02 00:15:00,1,EQ-00019,Inspection,Inverter reset performed,62,597.35,Team C
MT-00424,2025-10-01 19:15:00,20,EQ-00523,Component Replacement,Panel cleaning completed,177,471.63,Team D
MT-00425,2025-05-07 05:15:00,4,EQ-00092,Preventive Maintenance,Firmware updated,45,406.03,Team B
MT-00426,2025-11-25 06:15:00,18,EQ-00470,Inspection,Breaker replaced,63,1872.35,Team A
MT-00427,2025-12-24 12:30:00,3,EQ-00064,Preventive Maintenance,Sensor recalibrated,78,1838.92,Team C
MT-00428,2025-08-16 09:30:00,3,EQ-00064,Inspection,Inverter reset performed,277,1848.82,Team C
MT-00429,2025-01-31 08:15:00,2,EQ-00042,Preventive Maintenance,Panel cleaning completed,294,1773.05,Team A
MT-00430,2025-11-21 23:30:00,4,EQ-00099,Cleaning,Inverter reset performed,339,1500.87,Team A
MT-00431,2025-08-23 12:45:00,3,EQ-00075,Preventive Maintenance,Inverter reset performed,118,1353.69,Team C
MT-00432,2025-10-02 12:30:00,15,EQ-00381,Preventive Maintenance,Sensor recalibrated,219,2080.0,Team B
MT-00433,2025-02-22 06:15:00,12,EQ-00301,Corrective Maintenance,Breaker replaced,272,1069.21,Team B
MT-00434,2025-04-03 11:15:00,14,EQ-00354,Component Replacement,Cable inspection completed,39,56.57,Team C
MT-00435,2025-06-30 12:15:00,10,EQ-00264,Cleaning,Cable inspection completed,278,2243.21,Team A
MT-00436,2025-07-21 01:30:00,15,EQ-00386,Inspection,Loose connection repaired,258,945.38,Team A
MT-00437,2025-08-30 18:30:00,5,EQ-00126,Corrective Maintenance,Panel cleaning completed,323,1811.58,Team A
MT-00438,2025-12-28 00:30:00,13,EQ-00339,Corrective Maintenance,Inverter reset performed,301,2426.88,Team C
MT-00439,2025-08-12 04:45:00,15,EQ-00397,Component Replacement,Loose connection repaired,190,315.54,Team A
MT-00440,2025-03-10 11:45:00,20,EQ-00534,Preventive Maintenance,Loose connection repaired,69,1474.44,Team B
MT-00441,2025-08-08 05:45:00,20,EQ-00524,Cleaning,Sensor recalibrated,42,143.7,Team A
MT-00442,2025-11-10 12:00:00,12,EQ-00316,Inspection,Loose connection repaired,234,1455.2,Team B
MT-00443,2025-11-27 19:30:00,7,EQ-00184,Preventive Maintenance,Cable inspection completed,234,770.16,Team B
MT-00444,2025-02-15 08:00:00,3,EQ-00063,Cleaning,Breaker replaced,59,1409.54,Team B
MT-00445,2025-11-08 21:45:00,2,EQ-00032,Corrective Maintenance,Cable inspection completed,46,1427.44,Team B
MT-00446,2025-06-26 07:45:00,17,EQ-00442,Cleaning,Inverter reset performed,158,1097.44,Team C
MT-00447,2025-02-05 12:00:00,19,EQ-00491,Cleaning,Loose connection repaired,169,1838.14,Team A
MT-00448,2025-07-28 03:30:00,9,EQ-00238,Inspection,Firmware updated,114,2245.17,Team A
MT-00449,2025-10-19 07:15:00,18,EQ-00484,Component Replacement,Breaker replaced,77,1332.66,Team B
MT-00450,2025-11-05 04:15:00,6,EQ-00138,Cleaning,Inverter reset performed,148,1127.63,Team B
MT-00451,2025-10-13 08:00:00,14,EQ-00353,Component Replacement,Cable inspection completed,89,1726.91,Team B
MT-00452,2025-07-25 05:45:00,9,EQ-00232,Inspection,Cable inspection completed,219,151.55,Team B
MT-00453,2025-06-15 08:00:00,15,EQ-00384,Preventive Maintenance,Breaker replaced,253,2384.86,Team D
MT-00454,2025-11-21 11:00:00,4,EQ-00094,Cleaning,Sensor recalibrated,99,206.28,Team D
MT-00455,2025-03-18 16:45:00,14,EQ-00357,Cleaning,Transformer cooling checked,335,395.62,Team C
MT-00456,2025-05-16 07:00:00,15,EQ-00394,Inspection,Firmware updated,192,511.4,Team C
MT-00457,2025-09-07 12:30:00,16,EQ-00432,Component Replacement,Panel cleaning completed,257,661.64,Team B
MT-00458,2025-05-11 01:30:00,9,EQ-00237,Component Replacement,Loose connection repaired,215,1596.52,Team B
MT-00459,2025-09-28 20:15:00,5,EQ-00126,Preventive Maintenance,Breaker replaced,219,1002.64,Team D
MT-00460,2025-02-20 22:30:00,15,EQ-00385,Cleaning,Breaker replaced,351,1480.55,Team B
MT-00461,2025-05-12 04:00:00,8,EQ-00198,Inspection,Panel cleaning completed,315,754.69,Team A
MT-00462,2025-11-29 08:45:00,18,EQ-00483,Corrective Maintenance,Panel cleaning completed,359,912.91,Team C
MT-00463,2025-11-26 02:45:00,8,EQ-00200,Cleaning,Cable inspection completed,279,2135.37,Team C
MT-00464,2025-09-11 08:30:00,1,EQ-00012,Corrective Maintenance,Firmware updated,266,1230.94,Team D
MT-00465,2025-09-18 04:00:00,18,EQ-00478,Inspection,Sensor recalibrated,205,1873.66,Team C
MT-00466,2025-12-06 22:00:00,3,EQ-00072,Inspection,Breaker replaced,331,1135.71,Team D
MT-00467,2025-12-20 17:00:00,17,EQ-00435,Corrective Maintenance,Breaker replaced,211,1424.13,Team D
MT-00468,2025-09-08 01:00:00,6,EQ-00161,Preventive Maintenance,Sensor recalibrated,84,1976.21,Team B
MT-00469,2025-05-25 21:30:00,7,EQ-00188,Cleaning,Sensor recalibrated,320,1370.2,Team A
MT-00470,2025-02-21 00:30:00,7,EQ-00163,Cleaning,Cable inspection completed,112,2083.95,Team D
MT-00471,2025-02-14 07:00:00,7,EQ-00188,Component Replacement,Breaker replaced,145,1947.23,Team A
MT-00472,2025-06-01 22:00:00,20,EQ-00530,Corrective Maintenance,Inverter reset performed,58,2240.31,Team C
MT-00473,2025-09-09 00:00:00,12,EQ-00322,Cleaning,Firmware updated,212,1772.34,Team A
MT-00474,2025-11-18 07:45:00,8,EQ-00216,Corrective Maintenance,Breaker replaced,120,1214.91,Team D
MT-00475,2025-11-30 02:15:00,12,EQ-00300,Inspection,Inverter reset performed,317,1859.38,Team B
MT-00476,2025-04-30 12:15:00,20,EQ-00530,Preventive Maintenance,Panel cleaning completed,180,1131.02,Team D
MT-00477,2025-05-16 22:15:00,13,EQ-00328,Component Replacement,Inverter reset performed,263,1781.91,Team A
MT-00478,2025-06-18 20:00:00,10,EQ-00256,Corrective Maintenance,Loose connection repaired,21,230.59,Team D
MT-00479,2025-05-15 10:30:00,4,EQ-00084,Cleaning,Cable inspection completed,30,2393.34,Team B
MT-00480,2025-04-18 04:45:00,4,EQ-00094,Preventive Maintenance,Sensor recalibrated,213,2178.78,Team C
MT-00481,2025-01-21 19:00:00,8,EQ-00191,Component Replacement,Inverter reset performed,136,712.56,Team A
MT-00482,2025-06-02 07:30:00,8,EQ-00213,Corrective Maintenance,Loose connection repaired,127,2090.98,Team C
MT-00483,2025-03-18 04:45:00,19,EQ-00510,Corrective Maintenance,Cable inspection completed,194,1313.51,Team C
MT-00484,2025-01-02 15:45:00,19,EQ-00512,Component Replacement,Inverter reset performed,69,2493.65,Team B
MT-00485,2025-04-04 18:30:00,8,EQ-00190,Cleaning,Firmware updated,38,379.13,Team C
MT-00486,2025-03-28 09:30:00,5,EQ-00131,Component Replacement,Cable inspection completed,123,1186.47,Team B
MT-00487,2025-04-10 14:15:00,2,EQ-00050,Component Replacement,Cable inspection completed,195,463.99,Team C
MT-00488,2025-09-14 06:15:00,1,EQ-00009,Component Replacement,Transformer cooling checked,124,123.27,Team B
MT-00489,2025-07-17 08:00:00,20,EQ-00528,Preventive Maintenance,Inverter reset performed,164,1485.62,Team C
MT-00490,2025-02-13 10:15:00,4,EQ-00082,Corrective Maintenance,Firmware updated,215,1301.72,Team C
MT-00491,2025-02-04 20:15:00,11,EQ-00293,Preventive Maintenance,Transformer cooling checked,314,983.27,Team B
MT-00492,2025-08-09 11:00:00,16,EQ-00416,Inspection,Firmware updated,152,2427.95,Team D
MT-00493,2025-07-07 11:30:00,10,EQ-00265,Component Replacement,Breaker replaced,177,396.6,Team C
MT-00494,2025-03-13 12:30:00,13,EQ-00348,Component Replacement,Cable inspection completed,38,1561.63,Team A
MT-00495,2025-02-15 09:45:00,3,EQ-00062,Component Replacement,Transformer cooling checked,234,663.3,Team D
MT-00496,2025-07-04 06:45:00,4,EQ-00103,Preventive Maintenance,Inverter reset performed,173,2078.05,Team A
MT-00497,2025-01-28 13:00:00,3,EQ-00066,Preventive Maintenance,Transformer cooling checked,50,1999.38,Team D
MT-00498,2025-05-20 18:00:00,20,EQ-00520,Corrective Maintenance,Sensor recalibrated,309,2230.03,Team B
MT-00499,2025-09-23 05:30:00,3,EQ-00074,Inspection,Breaker replaced,336,480.02,Team D
MT-00500,2025-11-20 19:00:00,16,EQ-00406,Component Replacement,Inverter reset performed,306,88.43,Team A
MT-00501,2025-06-30 20:45:00,20,EQ-00526,Component Replacement,Transformer cooling checked,231,1171.14,Team A
MT-00502,2025-06-17 04:15:00,5,EQ-00132,Preventive Maintenance,Cable inspection completed,82,1534.39,Team C
